,submission_date,state,tot_cases,tot_death,new_case,new_death
0,2020-01-22,CT,0.0,0.0,0,0
1,2020-01-23,CT,0.0,0.0,0,0
2,2020-01-24,CT,0.0,0.0,0,0
3,2020-01-25,CT,0.0,0.0,0,0
4,2020-01-26,CT,0.0,0.0,0,0
5,2020-01-27,CT,0.0,0.0,0,0
6,2020-01-28,CT,0.0,0.0,0,0
7,2020-01-29,CT,0.0,0.0,0,0
8,2020-01-30,CT,0.0,0.0,0,0
9,2020-01-31,CT,0.0,0.0,0,0
10,2020-02-01,CT,0.0,0.0,0,0
11,2020-02-02,CT,0.0,0.0,0,0
12,2020-02-03,CT,0.0,0.0,0,0
13,2020-02-04,CT,0.0,0.0,0,0
14,2020-02-05,CT,0.0,0.0,0,0
15,2020-02-06,CT,0.0,0.0,0,0
16,2020-02-07,CT,0.0,0.0,0,0
17,2020-02-08,CT,0.0,0.0,0,0
18,2020-02-09,CT,0.0,0.0,0,0
19,2020-02-10,CT,0.0,0.0,0,0
20,2020-02-11,CT,0.0,0.0,0,0
21,2020-02-12,CT,0.0,0.0,0,0
22,2020-02-13,CT,0.0,0.0,0,0
23,2020-02-14,CT,0.0,0.0,0,0
24,2020-02-15,CT,0.0,0.0,0,0
25,2020-02-16,CT,0.0,0.0,0,0
26,2020-02-17,CT,0.0,0.0,0,0
27,2020-02-18,CT,0.0,0.0,0,0
28,2020-02-19,CT,0.0,0.0,0,0
29,2020-02-20,CT,0.0,0.0,0,0
30,2020-02-21,CT,0.0,0.0,0,0
31,2020-02-22,CT,0.0,0.0,0,0
32,2020-02-23,CT,0.0,0.0,0,0
33,2020-02-24,CT,0.0,0.0,0,0
34,2020-02-25,CT,0.0,0.0,0,0
35,2020-02-26,CT,0.0,0.0,0,0
36,2020-02-27,CT,0.0,0.0,0,0
37,2020-02-28,CT,0.0,0.0,0,0
38,2020-02-29,CT,0.0,0.0,0,0
39,2020-03-01,CT,0.0,0.0,0,0
40,2020-03-02,CT,0.0,0.0,0,0
41,2020-03-03,CT,0.0,0.0,0,0
42,2020-03-04,CT,0.0,0.0,0,0
43,2020-03-05,CT,0.0,0.0,0,0
44,2020-03-06,CT,0.0,0.0,0,0
45,2020-03-07,CT,0.0,0.0,0,0
46,2020-03-08,CT,1.0,0.0,1,0
47,2020-03-09,CT,0.0,0.0,0,0
48,2020-03-10,CT,1.0,0.0,1,0
49,2020-03-11,CT,1.0,0.0,1,0
50,2020-03-12,CT,4.0,0.0,4,0
51,2020-03-13,CT,0.0,0.0,0,0
52,2020-03-14,CT,0.0,0.0,0,0
53,2020-03-15,CT,19.0,0.0,19,0
54,2020-03-16,CT,15.0,0.0,15,0
55,2020-03-17,CT,27.0,0.0,27,0
56,2020-03-18,CT,28.0,1.0,28,1
57,2020-03-19,CT,63.0,2.0,63,2
58,2020-03-20,CT,35.0,1.0,35,1
59,2020-03-21,CT,29.0,1.0,29,1
60,2020-03-22,CT,104.0,3.0,104,3
61,2020-03-23,CT,88.0,2.0,88,2
62,2020-03-24,CT,203.0,2.0,203,2
63,2020-03-25,CT,257.0,7.0,257,7
64,2020-03-26,CT,137.0,2.0,137,2
65,2020-03-27,CT,279.0,6.0,279,6
66,2020-03-28,CT,233.0,6.0,233,6
67,2020-03-29,CT,469.0,1.0,469,1
68,2020-03-30,CT,578.0,2.0,578,2
69,2020-03-31,CT,557.0,33.0,557,33
70,2020-04-01,CT,429.0,16.0,429,16
71,2020-04-02,CT,267.0,27.0,267,27
72,2020-04-03,CT,1091.0,20.0,1091,20
73,2020-04-04,CT,361.0,33.0,361,33
74,2020-04-05,CT,399.0,24.0,399,24
75,2020-04-06,CT,1231.0,17.0,1231,17
83,2020-04-14,CT,608.0,6.0,608,6
109,2020-05-10,CT,570.0,35.0,570,35
111,2020-05-12,CT,568.0,33.0,568,33
118,2020-05-19,CT,314.0,23.0,314,23
123,2020-05-24,CT,446.0,18.0,446,18
125,2020-05-26,CT,430.0,27.0,430,27
126,2020-05-27,CT,0.0,34.0,-15,34
127,2020-05-28,CT,271.0,23.0,271,23
130,2020-05-31,CT,179.0,32.0,179,32
131,2020-06-01,CT,539.0,20.0,539,20
132,2020-06-02,CT,239.0,8.0,239,8
133,2020-06-03,CT,112.0,17.0,112,17
134,2020-06-04,CT,148.0,18.0,148,18
135,2020-06-05,CT,221.0,31.0,221,31
136,2020-06-06,CT,358.0,17.0,358,17
137,2020-06-07,CT,150.0,16.0,150,16
138,2020-06-08,CT,124.0,13.0,124,13
139,2020-06-09,CT,87.0,13.0,87,13
140,2020-06-10,CT,168.0,23.0,168,23
141,2020-06-11,CT,114.0,26.0,114,26
