,Date,Location,Administered
0,2020-12-14,CT,0.0
1,2020-12-15,CT,343.0
2,2020-12-16,CT,848.0
3,2020-12-17,CT,1599.0
4,2020-12-18,CT,2433.0
5,2020-12-19,CT,2010.0
6,2020-12-20,CT,0.0
7,2020-12-21,CT,1997.0
8,2020-12-22,CT,3807.0
9,2020-12-23,CT,6117.0
10,2020-12-24,CT,1525.0
11,2020-12-25,CT,8264.0
12,2020-12-26,CT,3367.0
13,2020-12-27,CT,81.0
14,2020-12-28,CT,5905.0
15,2020-12-29,CT,11863.0
16,2020-12-30,CT,9968.0
17,2020-12-31,CT,7913.0
18,2021-01-01,CT,30.0
19,2021-01-02,CT,7175.0
20,2021-01-03,CT,1997.0
21,2021-01-04,CT,3157.0
22,2021-01-05,CT,8185.0
23,2021-01-06,CT,13447.0
24,2021-01-07,CT,7185.0
25,2021-01-08,CT,15523.0
26,2021-01-09,CT,1627.0
27,2021-01-10,CT,11884.0
28,2021-01-11,CT,9474.0
29,2021-01-12,CT,5222.0
30,2021-01-13,CT,10023.0
31,2021-01-14,CT,17116.0
32,2021-01-15,CT,7206.0
33,2021-01-16,CT,20434.0
34,2021-01-17,CT,1213.0
35,2021-01-18,CT,13749.0
36,2021-01-19,CT,8392.0
37,2021-01-20,CT,12061.0
38,2021-01-21,CT,21567.0
39,2021-01-22,CT,22733.0
40,2021-01-23,CT,19356.0
41,2021-01-24,CT,14941.0
42,2021-01-25,CT,9527.0
43,2021-01-26,CT,11379.0
44,2021-01-27,CT,18348.0
45,2021-01-28,CT,20169.0
46,2021-01-29,CT,22210.0
47,2021-01-30,CT,17821.0
48,2021-01-31,CT,15651.0
49,2021-02-01,CT,12411.0
50,2021-02-02,CT,6837.0
51,2021-02-03,CT,8918.0
52,2021-02-04,CT,16818.0
53,2021-02-05,CT,20521.0
54,2021-02-06,CT,17053.0
55,2021-02-07,CT,14541.0
56,2021-02-08,CT,8473.0
57,2021-02-09,CT,11908.0
58,2021-02-10,CT,20428.0
59,2021-02-11,CT,25499.0
60,2021-02-12,CT,26429.0
61,2021-02-13,CT,28088.0
62,2021-02-14,CT,19938.0
63,2021-02-15,CT,16670.0
64,2021-02-16,CT,19768.0
65,2021-02-17,CT,27049.0
66,2021-02-18,CT,28992.0
68,2021-02-20,CT,25205.0
69,2021-02-21,CT,12714.0
70,2021-02-22,CT,22243.0
71,2021-02-23,CT,10105.0
72,2021-02-24,CT,19151.0
73,2021-02-25,CT,13913.0
74,2021-02-26,CT,28207.0
75,2021-02-27,CT,26058.0
76,2021-02-28,CT,24256.0
77,2021-03-01,CT,26838.0
78,2021-03-02,CT,8849.0
79,2021-03-03,CT,21221.0
80,2021-03-04,CT,25938.0
81,2021-03-05,CT,34204.0
82,2021-03-06,CT,35597.0
83,2021-03-07,CT,38503.0
84,2021-03-08,CT,33248.0
85,2021-03-09,CT,16822.0
86,2021-03-10,CT,26894.0
87,2021-03-11,CT,31721.0
88,2021-03-12,CT,41048.0
90,2021-03-14,CT,7.0
91,2021-03-15,CT,30907.0
92,2021-03-16,CT,17895.0
93,2021-03-17,CT,23253.0
94,2021-03-18,CT,31358.0
95,2021-03-19,CT,36536.0
96,2021-03-20,CT,35003.0
97,2021-03-21,CT,36606.0
98,2021-03-22,CT,35248.0
99,2021-03-23,CT,18567.0
100,2021-03-24,CT,24393.0
101,2021-03-25,CT,35862.0
102,2021-03-26,CT,36885.0
103,2021-03-27,CT,39809.0
104,2021-03-28,CT,40435.0
105,2021-03-29,CT,37314.0
106,2021-03-30,CT,33002.0
107,2021-03-31,CT,29654.0
108,2021-04-01,CT,38640.0
109,2021-04-02,CT,42643.0
112,2021-04-05,CT,40207.0
113,2021-04-06,CT,7470.0
114,2021-04-07,CT,40825.0
120,2021-04-13,CT,33043.0
121,2021-04-14,CT,40336.0
122,2021-04-15,CT,40546.0
126,2021-04-19,CT,38246.0
127,2021-04-20,CT,25898.0
128,2021-04-21,CT,35545.0
129,2021-04-22,CT,43428.0
130,2021-04-23,CT,43607.0
