,submission_date,state,tot_cases,tot_death,new_case,new_death
0,2020-01-22,FL,0.0,0.0,0,0
1,2020-01-23,FL,0.0,0.0,0,0
2,2020-01-24,FL,0.0,0.0,0,0
3,2020-01-25,FL,0.0,0.0,0,0
4,2020-01-26,FL,0.0,0.0,0,0
5,2020-01-27,FL,0.0,0.0,0,0
6,2020-01-28,FL,0.0,0.0,0,0
7,2020-01-29,FL,0.0,0.0,0,0
8,2020-01-30,FL,0.0,0.0,0,0
9,2020-01-31,FL,0.0,0.0,0,0
10,2020-02-01,FL,0.0,0.0,0,0
11,2020-02-02,FL,0.0,0.0,0,0
12,2020-02-03,FL,0.0,0.0,0,0
13,2020-02-04,FL,0.0,0.0,0,0
14,2020-02-05,FL,0.0,0.0,0,0
15,2020-02-06,FL,0.0,0.0,0,0
16,2020-02-07,FL,0.0,0.0,0,0
17,2020-02-08,FL,0.0,0.0,0,0
18,2020-02-09,FL,0.0,0.0,0,0
19,2020-02-10,FL,0.0,0.0,0,0
20,2020-02-11,FL,0.0,0.0,0,0
21,2020-02-12,FL,0.0,0.0,0,0
22,2020-02-13,FL,0.0,0.0,0,0
23,2020-02-14,FL,0.0,0.0,0,0
24,2020-02-15,FL,0.0,0.0,0,0
25,2020-02-16,FL,0.0,0.0,0,0
26,2020-02-17,FL,0.0,0.0,0,0
27,2020-02-18,FL,0.0,0.0,0,0
28,2020-02-19,FL,0.0,0.0,0,0
29,2020-02-20,FL,0.0,0.0,0,0
30,2020-02-21,FL,0.0,0.0,0,0
31,2020-02-22,FL,0.0,0.0,0,0
32,2020-02-23,FL,0.0,0.0,0,0
33,2020-02-24,FL,0.0,0.0,0,0
34,2020-02-25,FL,0.0,0.0,0,0
35,2020-02-26,FL,0.0,0.0,0,0
36,2020-02-27,FL,0.0,0.0,0,0
37,2020-02-28,FL,0.0,0.0,0,0
38,2020-02-29,FL,0.0,0.0,0,0
39,2020-03-01,FL,0.0,0.0,0,0
40,2020-03-02,FL,2.0,0.0,2,0
41,2020-03-03,FL,1.0,0.0,1,0
42,2020-03-04,FL,4.0,0.0,4,0
43,2020-03-05,FL,1.0,1.0,1,1
44,2020-03-06,FL,0.0,1.0,0,1
45,2020-03-07,FL,4.0,0.0,4,0
46,2020-03-08,FL,1.0,0.0,1,0
47,2020-03-09,FL,5.0,0.0,5,0
48,2020-03-10,FL,2.0,1.0,2,1
49,2020-03-11,FL,6.0,0.0,6,0
50,2020-03-12,FL,5.0,0.0,5,0
51,2020-03-13,FL,20.0,0.0,20,0
52,2020-03-14,FL,40.0,2.0,40,2
53,2020-03-15,FL,31.0,1.0,31,1
54,2020-03-16,FL,27.0,0.0,27,0
55,2020-03-17,FL,61.0,3.0,61,3
56,2020-03-18,FL,98.0,1.0,98,1
57,2020-03-19,FL,77.0,2.0,77,2
58,2020-03-20,FL,142.0,2.0,142,2
