,Date,Location,Administered
0,2020-12-14,FL,0.0
1,2020-12-15,FL,0.0
2,2020-12-16,FL,29.0
3,2020-12-17,FL,2511.0
4,2020-12-18,FL,7593.0
5,2020-12-19,FL,9501.0
6,2020-12-20,FL,13132.0
7,2020-12-21,FL,7373.0
8,2020-12-22,FL,3681.0
9,2020-12-23,FL,6218.0
10,2020-12-24,FL,18235.0
11,2020-12-25,FL,24429.0
12,2020-12-26,FL,14142.0
13,2020-12-27,FL,12172.0
14,2020-12-28,FL,4149.0
15,2020-12-29,FL,23687.0
16,2020-12-30,FL,29877.0
17,2020-12-31,FL,36302.0
18,2021-01-01,FL,24778.0
19,2021-01-02,FL,8778.0
20,2021-01-03,FL,12777.0
21,2021-01-04,FL,5148.0
22,2021-01-05,FL,30759.0
23,2021-01-06,FL,43761.0
24,2021-01-07,FL,63770.0
25,2021-01-08,FL,69827.0
26,2021-01-09,FL,82639.0
27,2021-01-10,FL,46915.0
28,2021-01-11,FL,31257.0
29,2021-01-12,FL,0.0
30,2021-01-13,FL,141045.0
31,2021-01-14,FL,78596.0
32,2021-01-15,FL,82625.0
33,2021-01-16,FL,96468.0
34,2021-01-17,FL,75570.0
35,2021-01-18,FL,25549.0
36,2021-01-19,FL,41392.0
37,2021-01-20,FL,65290.0
38,2021-01-21,FL,0.0
39,2021-01-22,FL,74402.0
40,2021-01-23,FL,174626.0
41,2021-01-24,FL,55791.0
42,2021-01-25,FL,0.0
43,2021-01-26,FL,30696.0
44,2021-01-27,FL,57001.0
45,2021-01-28,FL,74760.0
46,2021-01-29,FL,88995.0
47,2021-01-30,FL,93952.0
48,2021-01-31,FL,69428.0
49,2021-02-01,FL,45752.0
50,2021-02-02,FL,42765.0
51,2021-02-03,FL,85025.0
52,2021-02-04,FL,90586.0
53,2021-02-05,FL,36990.0
54,2021-02-06,FL,125095.0
56,2021-02-08,FL,0.0
57,2021-02-09,FL,123773.0
58,2021-02-10,FL,104235.0
59,2021-02-11,FL,122195.0
61,2021-02-13,FL,135386.0
62,2021-02-14,FL,116426.0
63,2021-02-15,FL,53071.0
64,2021-02-16,FL,78069.0
65,2021-02-17,FL,103573.0
66,2021-02-18,FL,116655.0
68,2021-02-20,FL,7447.0
69,2021-02-21,FL,181153.0
